region,rok,bezrobotni_w_liczbie_ludności_w_wieku_produkcyjnym,ogółem
ŚWIĘTOKRZYSKIE,2008,,33587.0
ŚWIĘTOKRZYSKIE,2009,,26552.0
ŚWIĘTOKRZYSKIE,2010,,25227.0
ŚWIĘTOKRZYSKIE,2011,,29198.0
ŚWIĘTOKRZYSKIE,2012,,31899.0
ŚWIĘTOKRZYSKIE,2013,,34413.0
ŚWIĘTOKRZYSKIE,2014,4.0,31639.0
ŚWIĘTOKRZYSKIE,2015,3.2,24692.0
ŚWIĘTOKRZYSKIE,2016,2.8,21538.0
ŚWIĘTOKRZYSKIE,2017,2.2,16539.0
ŚWIĘTOKRZYSKIE,2018,2.2,16195.0
ŚWIĘTOKRZYSKIE,2019,2.2,15905.0
ŚWIĘTOKRZYSKIE,2020,2.8,19565.0
ŚWIĘTOKRZYSKIE,2021,2.6,18087.0
ŚWIĘTOKRZYSKIE,2022,2.1,13958.0
ŚWIĘTOKRZYSKIE,2023,1.9,12783.0
ŚWIĘTOKRZYSKIE,2024,1.9,12511.0
ŚWIĘTOKRZYSKIE,2025,,13782.0
