region,inwestycje_zl,typ_inwestycji,rok
ŚWIĘTOKRZYSKIE,3913,ogółem,2014
WARMIŃSKO-MAZURSKIE,4634,ogółem,2014
WIELKOPOLSKIE,6452,ogółem,2014
ZACHODNIOPOMORSKIE,6091,ogółem,2014
DOLNOŚLĄSKIE,7800,ogółem,2015
KUJAWSKO-POMORSKIE,6692,ogółem,2015
LUBELSKIE,4837,ogółem,2015
LUBUSKIE,5762,ogółem,2015
ŁÓDZKIE,6980,ogółem,2015
MAŁOPOLSKIE,6277,ogółem,2015
MAZOWIECKIE,10868,ogółem,2015
OPOLSKIE,8062,ogółem,2015
PODKARPACKIE,5172,ogółem,2015
PODLASKIE,5754,ogółem,2015
POMORSKIE,7277,ogółem,2015
ŚLĄSKIE,6445,ogółem,2015
ŚWIĘTOKRZYSKIE,4624,ogółem,2015
WARMIŃSKO-MAZURSKIE,5587,ogółem,2015
WIELKOPOLSKIE,7291,ogółem,2015
ZACHODNIOPOMORSKIE,6383,ogółem,2015
DOLNOŚLĄSKIE,7562,ogółem,2016
KUJAWSKO-POMORSKIE,4338,ogółem,2016
LUBELSKIE,3517,ogółem,2016
LUBUSKIE,5573,ogółem,2016
ŁÓDZKIE,5744,ogółem,2016
MAŁOPOLSKIE,5430,ogółem,2016
MAZOWIECKIE,10533,ogółem,2016
OPOLSKIE,8292,ogółem,2016
PODKARPACKIE,4659,ogółem,2016
PODLASKIE,4174,ogółem,2016
POMORSKIE,6882,ogółem,2016
ŚLĄSKIE,6367,ogółem,2016
ŚWIĘTOKRZYSKIE,3505,ogółem,2016
WARMIŃSKO-MAZURSKIE,4941,ogółem,2016
WIELKOPOLSKIE,6770,ogółem,2016
ZACHODNIOPOMORSKIE,4719,ogółem,2016
DOLNOŚLĄSKIE,8358,ogółem,2017
KUJAWSKO-POMORSKIE,4736,ogółem,2017
LUBELSKIE,4145,ogółem,2017
LUBUSKIE,5426,ogółem,2017
ŁÓDZKIE,5792,ogółem,2017
MAŁOPOLSKIE,5669,ogółem,2017
MAZOWIECKIE,10802,ogółem,2017
OPOLSKIE,6809,ogółem,2017
PODKARPACKIE,5136,ogółem,2017
PODLASKIE,5381,ogółem,2017
POMORSKIE,7399,ogółem,2017
ŚLĄSKIE,6614,ogółem,2017
ŚWIĘTOKRZYSKIE,3883,ogółem,2017
WARMIŃSKO-MAZURSKIE,5075,ogółem,2017
WIELKOPOLSKIE,6960,ogółem,2017
ZACHODNIOPOMORSKIE,5917,ogółem,2017
DOLNOŚLĄSKIE,9960,ogółem,2018
KUJAWSKO-POMORSKIE,5851,ogółem,2018
LUBELSKIE,5361,ogółem,2018
LUBUSKIE,6207,ogółem,2018
ŁÓDZKIE,6723,ogółem,2018
MAŁOPOLSKIE,6627,ogółem,2018
MAZOWIECKIE,12601,ogółem,2018
OPOLSKIE,7251,ogółem,2018
PODKARPACKIE,6407,ogółem,2018
PODLASKIE,6565,ogółem,2018
POMORSKIE,8372,ogółem,2018
ŚLĄSKIE,7492,ogółem,2018
ŚWIĘTOKRZYSKIE,4586,ogółem,2018
WARMIŃSKO-MAZURSKIE,6572,ogółem,2018
WIELKOPOLSKIE,7985,ogółem,2018
ZACHODNIOPOMORSKIE,6940,ogółem,2018
DOLNOŚLĄSKIE,11590,ogółem,2019
KUJAWSKO-POMORSKIE,5848,ogółem,2019
LUBELSKIE,6040,ogółem,2019
LUBUSKIE,6252,ogółem,2019
ŁÓDZKIE,7435,ogółem,2019
MAŁOPOLSKIE,7114,ogółem,2019
MAZOWIECKIE,13477,ogółem,2019
OPOLSKIE,7958,ogółem,2019
PODKARPACKIE,6773,ogółem,2019
PODLASKIE,7157,ogółem,2019
POMORSKIE,7336,ogółem,2019
ŚLĄSKIE,8198,ogółem,2019
ŚWIĘTOKRZYSKIE,4999,ogółem,2019
WARMIŃSKO-MAZURSKIE,5882,ogółem,2019
WIELKOPOLSKIE,8522,ogółem,2019
ZACHODNIOPOMORSKIE,6695,ogółem,2019
DOLNOŚLĄSKIE,10333,ogółem,2020
KUJAWSKO-POMORSKIE,6361,ogółem,2020
LUBELSKIE,6178,ogółem,2020
LUBUSKIE,5992,ogółem,2020
ŁÓDZKIE,7026,ogółem,2020
MAŁOPOLSKIE,7029,ogółem,2020
MAZOWIECKIE,12738,ogółem,2020
OPOLSKIE,6939,ogółem,2020
PODKARPACKIE,6291,ogółem,2020
PODLASKIE,7300,ogółem,2020
POMORSKIE,7411,ogółem,2020
ŚLĄSKIE,7507,ogółem,2020
ŚWIĘTOKRZYSKIE,5032,ogółem,2020
WARMIŃSKO-MAZURSKIE,5981,ogółem,2020
WIELKOPOLSKIE,7900,ogółem,2020
ZACHODNIOPOMORSKIE,8965,ogółem,2020
DOLNOŚLĄSKIE,10468,ogółem,2021
KUJAWSKO-POMORSKIE,7072,ogółem,2021
LUBELSKIE,6287,ogółem,2021
LUBUSKIE,8041,ogółem,2021
ŁÓDZKIE,7666,ogółem,2021
MAŁOPOLSKIE,7887,ogółem,2021
MAZOWIECKIE,14828,ogółem,2021
OPOLSKIE,7588,ogółem,2021
PODKARPACKIE,7111,ogółem,2021
PODLASKIE,8432,ogółem,2021
POMORSKIE,8485,ogółem,2021
ŚLĄSKIE,7716,ogółem,2021
ŚWIĘTOKRZYSKIE,5602,ogółem,2021
WARMIŃSKO-MAZURSKIE,6925,ogółem,2021
WIELKOPOLSKIE,8918,ogółem,2021
ZACHODNIOPOMORSKIE,9462,ogółem,2021
DOLNOŚLĄSKIE,11641,ogółem,2022
KUJAWSKO-POMORSKIE,8456,ogółem,2022
LUBELSKIE,6994,ogółem,2022
LUBUSKIE,8830,ogółem,2022
ŁÓDZKIE,8701,ogółem,2022
MAŁOPOLSKIE,9255,ogółem,2022
MAZOWIECKIE,17804,ogółem,2022
OPOLSKIE,9158,ogółem,2022
PODKARPACKIE,7365,ogółem,2022
PODLASKIE,10039,ogółem,2022
POMORSKIE,9497,ogółem,2022
ŚLĄSKIE,9992,ogółem,2022
ŚWIĘTOKRZYSKIE,6701,ogółem,2022
WARMIŃSKO-MAZURSKIE,7894,ogółem,2022
WIELKOPOLSKIE,10448,ogółem,2022
ZACHODNIOPOMORSKIE,11667,ogółem,2022
DOLNOŚLĄSKIE,12212,ogółem,2023
KUJAWSKO-POMORSKIE,9273,ogółem,2023
LUBELSKIE,8839,ogółem,2023
LUBUSKIE,12130,ogółem,2023
ŁÓDZKIE,10666,ogółem,2023
MAŁOPOLSKIE,10186,ogółem,2023
MAZOWIECKIE,20631,ogółem,2023
OPOLSKIE,11626,ogółem,2023
PODKARPACKIE,9751,ogółem,2023
PODLASKIE,11425,ogółem,2023
POMORSKIE,12138,ogółem,2023
ŚLĄSKIE,11804,ogółem,2023
ŚWIĘTOKRZYSKIE,8157,ogółem,2023
WARMIŃSKO-MAZURSKIE,9023,ogółem,2023
WIELKOPOLSKIE,11364,ogółem,2023
ZACHODNIOPOMORSKIE,11682,ogółem,2023
DOLNOŚLĄSKIE,11637,ogółem,2024
KUJAWSKO-POMORSKIE,8909,ogółem,2024
LUBELSKIE,8621,ogółem,2024
LUBUSKIE,10402,ogółem,2024
ŁÓDZKIE,9139,ogółem,2024
MAŁOPOLSKIE,9636,ogółem,2024
MAZOWIECKIE,20911,ogółem,2024
OPOLSKIE,11362,ogółem,2024
PODKARPACKIE,9442,ogółem,2024
PODLASKIE,10553,ogółem,2024
POMORSKIE,12336,ogółem,2024
ŚLĄSKIE,10896,ogółem,2024
ŚWIĘTOKRZYSKIE,7967,ogółem,2024
WARMIŃSKO-MAZURSKIE,7741,ogółem,2024
WIELKOPOLSKIE,10870,ogółem,2024
ZACHODNIOPOMORSKIE,11426,ogółem,2024
