region,rok,saldo_migracji_ogółem,wymeldowania_do_miast_ogółem,wymeldowania_na_wieś_ogółem,wymeldowania_ogółem_kobiety,wymeldowania_ogółem_mężczyźni,wymeldowania_ogółem_ogółem,zameldowania_ogółem_kobiety,zameldowania_ogółem_mężczyźni,zameldowania_ogółem_ogółem,zameldowania_z_miast_ogółem,zameldowania_ze_wsi_ogółem
LUBUSKIE,2009,-450.0,5065.0,3719.0,4869.0,3915.0,8784.0,4538.0,3796.0,8334.0,5460.0,2874.0
LUBUSKIE,2010,-474.0,5150.0,3660.0,4802.0,4008.0,8810.0,4452.0,3884.0,8336.0,5503.0,2833.0
LUBUSKIE,2011,-665.0,5213.0,3764.0,4823.0,4154.0,8977.0,4416.0,3896.0,8312.0,5345.0,2967.0
LUBUSKIE,2012,-441.0,4967.0,3622.0,4692.0,3897.0,8589.0,4394.0,3754.0,8148.0,5273.0,2875.0
LUBUSKIE,2013,-743.0,5605.0,3895.0,5043.0,4457.0,9500.0,4602.0,4155.0,8757.0,5510.0,3247.0
LUBUSKIE,2014,-660.0,5335.0,3344.0,4680.0,3999.0,8679.0,4221.0,3798.0,8019.0,4883.0,3136.0
LUBUSKIE,2015,-893.0,5107.0,2922.0,4270.0,3759.0,8029.0,3719.0,3417.0,7136.0,4513.0,2623.0
LUBUSKIE,2016,-740.0,4712.0,2933.0,4065.0,3580.0,7645.0,3648.0,3257.0,6905.0,4203.0,2702.0
LUBUSKIE,2017,-788.0,5008.0,3212.0,4437.0,3783.0,8220.0,3869.0,3563.0,7432.0,4545.0,2887.0
LUBUSKIE,2018,-971.0,5584.0,3411.0,4678.0,4317.0,8995.0,4133.0,3891.0,8024.0,4936.0,3088.0
LUBUSKIE,2019,-1245.0,6096.0,3700.0,5215.0,4581.0,9796.0,4496.0,4055.0,8551.0,5193.0,3358.0
LUBUSKIE,2020,-842.0,4523.0,3284.0,4099.0,3708.0,7807.0,3578.0,3387.0,6965.0,4376.0,2589.0
LUBUSKIE,2021,-1068.0,4722.0,3717.0,4448.0,3991.0,8439.0,3833.0,3538.0,7371.0,4589.0,2782.0
LUBUSKIE,2022,-861.0,4159.0,3820.0,4134.0,3845.0,7979.0,3657.0,3461.0,7118.0,4599.0,2519.0
LUBUSKIE,2023,-753.0,4245.0,3523.0,4054.0,3714.0,7768.0,3660.0,3355.0,7015.0,4572.0,2443.0
LUBUSKIE,2024,-1034.0,4463.0,3626.0,4195.0,3894.0,8089.0,3652.0,3403.0,7055.0,4417.0,2638.0
LUBUSKIE,2025,,,,,,,,,,,
MAZOWIECKIE,1999,6727.0,,,22330.0,19392.0,41722.0,26100.0,22349.0,48449.0,,
MAZOWIECKIE,2000,8825.0,24447.0,14204.0,20535.0,18116.0,38651.0,25316.0,22160.0,47476.0,31946.0,15530.0
MAZOWIECKIE,2001,9866.0,23124.0,13195.0,19170.0,17149.0,36319.0,24796.0,21389.0,46185.0,31909.0,14276.0
MAZOWIECKIE,2002,12166.0,25178.0,15004.0,21335.0,18847.0,40182.0,28299.0,24049.0,52348.0,36415.0,15933.0
MAZOWIECKIE,2003,13328.0,26254.0,16643.0,22965.0,19932.0,42897.0,30586.0,25639.0,56225.0,39443.0,16782.0
